password,strength,length,uppercase_count,lowercase_count,digit_count,special_count,has_uppercase,has_lowercase,has_digits,has_special,entropy,strength_label
abc24,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Guard18!,2,8,1,4,2,1,1,1,1,1,3,Medium
454545,0,6,0,0,6,0,0,0,1,0,1,Very Weak
363636,0,6,0,0,6,0,0,0,1,0,1,Very Weak
^2CorbFT2bVi7!e#,4,16,4,6,3,3,1,1,1,1,3.75,Very Strong
999,0,3,0,0,3,0,0,0,1,0,0,Very Weak
gVy$5cp!LbYu3wKF#,4,17,5,7,2,3,1,1,1,1,4.087462841,Very Strong
Guard17!,2,8,1,4,2,1,1,1,1,1,3,Medium
123456,0,6,0,0,6,0,0,0,1,0,2.584962501,Very Weak
baseball,0,8,0,8,0,0,0,1,0,0,2.25,Very Weak
Guard0@,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
abc3,0,4,0,3,1,0,0,1,1,0,2,Very Weak
tvf33sSoG,2,9,2,5,2,0,1,1,1,0,2.947702779,Medium
PASS150pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
abc37,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
zxcvbn,0,6,0,6,0,0,0,1,0,0,2.584962501,Very Weak
qwerty1,1,7,0,6,1,0,0,1,1,0,2.807354922,Weak
12341,1,5,0,0,5,0,0,0,1,0,1.921928095,Weak
abc43,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
dragon1,1,7,0,6,1,0,0,1,1,0,2.807354922,Weak
Y!U9Ooo7O%^WVrde,4,16,6,5,2,3,1,1,1,1,3.75,Very Strong
abc1,0,4,0,3,1,0,0,1,1,0,2,Very Weak
SECURE80secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
Pass1%,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
0,0,3,0,0,3,0,0,0,1,0,0,Very Weak
Byxv3Uqr,2,8,2,5,1,0,1,1,1,0,3,Medium
abc12,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
202020,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Pass2#,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
161616,0,6,0,0,6,0,0,0,1,0,1,Very Weak
abc39,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Shield12$,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
0K4agr66,2,8,1,3,4,0,1,1,1,0,2.75,Medium
UHiYQCrzed%x%cOs,4,16,6,8,0,2,1,1,0,1,3.875,Very Strong
Safe3@,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
7WjuoUg*xW%5JK6,4,15,5,5,3,2,1,1,1,1,3.773557262,Very Strong
3THVR8!4eZX8kf,4,14,6,3,4,1,1,1,1,1,3.664497779,Very Strong
Shield4!,2,8,1,5,1,1,1,1,1,1,3,Medium
iwKX6uNy,2,8,3,4,1,0,1,1,1,0,3,Medium
oWJ2shDZ,2,8,4,3,1,0,1,1,1,0,3,Medium
HmDJTRFuxDeLpG#$Rp,4,18,10,6,0,2,1,1,0,1,3.836591668,Very Strong
Guard14$,2,8,1,4,2,1,1,1,1,1,3,Medium
i5q87Hts,2,8,1,4,3,0,1,1,1,0,3,Medium
5BWJ6ax19,2,9,3,2,4,0,1,1,1,0,3.169925001,Medium
Pass7$,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
ak5jlp!&p#kUtsfs,4,16,1,11,1,3,1,1,1,1,3.625,Very Strong
Pass11$,2,7,1,3,2,1,1,1,1,1,2.235926351,Medium
07VIL6wIz,2,9,4,2,3,0,1,1,1,0,2.947702779,Medium
abc27,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Shield10$,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
Shield11%,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
qwerty2,1,7,0,6,1,0,0,1,1,0,2.807354922,Weak
PASS100pass,2,11,4,4,3,0,1,1,1,0,2.913977073,Medium
password0,1,9,0,8,1,0,0,1,1,0,2.947702779,Weak
xl8KvqNVVk,2,10,4,5,1,0,1,1,1,0,3.121928095,Medium
Ns8vd9afXLugMC5cV@,4,18,6,8,3,1,1,1,1,1,4.169925001,Very Strong
%0Q9bhstjWIpTmb!h,4,17,4,9,2,2,1,1,1,1,3.852168724,Very Strong
Pass8!,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
r4ZfjW5X3,2,9,3,3,3,0,1,1,1,0,3.169925001,Medium
Guard15@,2,8,1,4,2,1,1,1,1,1,3,Medium
bCBUn3ZjKqJXF1ogpV,4,18,9,7,2,0,1,1,1,0,4.169925001,Very Strong
51xEOnGs7,2,9,3,3,3,0,1,1,1,0,3.169925001,Medium
Safe2@,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
GUARD150guard,2,13,5,5,3,0,1,1,1,0,3.700439718,Medium
^Oo*HGu5c#!hTvQCoo,4,18,6,7,1,4,1,1,1,1,3.905764585,Very Strong
Q5vP1$%BUkJ!,3,12,5,2,2,3,1,1,1,1,3.584962501,Strong
222,0,3,0,0,3,0,0,0,1,0,0,Very Weak
C0Xc34yIxu,2,10,3,4,3,0,1,1,1,0,3.321928095,Medium
212121,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Secure19#,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
Guard3%,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
9AedlIDH4,2,9,4,3,2,0,1,1,1,0,3.169925001,Medium
Safe17!,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
GUARD40guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
LBKv8^ffYEYVEiDvj,4,17,9,6,1,1,1,1,1,1,3.616874606,Very Strong
SECURE140secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
555,0,3,0,0,3,0,0,0,1,0,0,Very Weak
GUARD70guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
141414,0,6,0,0,6,0,0,0,1,0,1,Very Weak
3MNWfVshVN,2,10,6,3,1,0,1,1,1,0,2.921928095,Medium
BA7TkwAMfW,2,10,6,3,1,0,1,1,1,0,3.121928095,Medium
Secure2%,2,8,1,5,1,1,1,1,1,1,2.75,Medium
q2WXlwaWN@98PPH,4,15,7,4,3,1,1,1,1,1,3.640223929,Very Strong
PASS10pass,2,10,4,4,2,0,1,1,1,0,2.921928095,Medium
password2,1,9,0,8,1,0,0,1,1,0,2.947702779,Weak
odmIzUg00,2,9,2,5,2,0,1,1,1,0,2.947702779,Medium
C2QgPSkT,2,8,5,2,1,0,1,1,1,0,3,Medium
888,0,3,0,0,3,0,0,0,1,0,0,Very Weak
abc49,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
SECURE150secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
QqqcsbfW2wncJO5v8,4,17,4,10,3,0,1,1,1,0,3.852168724,Very Strong
Pass13%,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
abc21,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
SAFE60safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
abc4,0,4,0,3,1,0,0,1,1,0,2,Very Weak
111,0,3,0,0,3,0,0,0,1,0,0,Very Weak
INe5aOFBvZ,2,10,6,3,1,0,1,1,1,0,3.321928095,Medium
262626,0,6,0,0,6,0,0,0,1,0,1,Very Weak
SAFE30safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
GUARD0guard,2,11,5,5,1,0,1,1,1,0,3.459431619,Medium
Safe15%,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
2xtyFnWQe,2,9,3,5,1,0,1,1,1,0,3.169925001,Medium
404040,0,6,0,0,6,0,0,0,1,0,1,Very Weak
PASS140pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
SECURE0secure,2,13,6,6,1,0,1,1,1,0,3.39274741,Medium
SAFE90safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
444,0,3,0,0,3,0,0,0,1,0,0,Very Weak
4!QkaRhdm#A9*ea0b,4,17,3,8,3,3,1,1,1,1,3.969815782,Very Strong
cQ%GRSU&vEUg&@JnLd,4,18,9,5,0,4,1,1,0,1,3.947702779,Very Strong
lyOBWTFJS43#t$MEJ&,4,18,10,3,2,3,1,1,1,1,4.05881389,Very Strong
12345,0,5,0,0,5,0,0,0,1,0,2.321928095,Very Weak
asdfgh123,1,9,0,6,3,0,0,1,1,0,3.169925001,Weak
abc15,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Shield0@,2,8,1,5,1,1,1,1,1,1,3,Medium
SHIELD0shield,2,13,6,6,1,0,1,1,1,0,3.700439718,Medium
abc0,0,4,0,3,1,0,0,1,1,0,2,Very Weak
171717,0,6,0,0,6,0,0,0,1,0,1,Very Weak
SECURE60secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
RWxfj1hP,2,8,3,4,1,0,1,1,1,0,3,Medium
qwerty,0,6,0,6,0,0,0,1,0,0,2.584962501,Very Weak
SAFE180safe,2,11,4,4,3,0,1,1,1,0,3.459431619,Medium
SHIELD140shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
232323,0,6,0,0,6,0,0,0,1,0,1,Very Weak
SECURE20secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
F$v!XSHTF&k&o5e5,4,16,6,4,2,4,1,1,1,1,3.625,Very Strong
484848,0,6,0,0,6,0,0,0,1,0,1,Very Weak
wE7y7YNC,2,8,4,2,2,0,1,1,1,0,2.75,Medium
Guard13#,2,8,1,4,2,1,1,1,1,1,3,Medium
777,0,3,0,0,3,0,0,0,1,0,0,Very Weak
SAFE10safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
Secure10#,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
abc5,0,4,0,3,1,0,0,1,1,0,2,Very Weak
111111,0,6,0,0,6,0,0,0,1,0,0,Very Weak
Pass15@,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
181818,0,6,0,0,6,0,0,0,1,0,1,Very Weak
474747,0,6,0,0,6,0,0,0,1,0,1,Very Weak
abc11,0,5,0,3,2,0,0,1,1,0,1.921928095,Very Weak
Pass3!,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
#SBC@v$#YSNEd4Kg,4,16,8,3,1,4,1,1,1,1,3.75,Very Strong
zxcvbn123,1,9,0,6,3,0,0,1,1,0,3.169925001,Weak
UPf8WxPMfL,2,10,6,3,1,0,1,1,1,0,2.921928095,Medium
qwerty123,1,9,0,6,3,0,0,1,1,0,3.169925001,Weak
PF5Wb1miKqcJSBqVn,4,17,8,7,2,0,1,1,1,0,3.969815782,Very Strong
Secure6!,2,8,1,5,1,1,1,1,1,1,2.75,Medium
Pass12!,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
YO37kKY9YD,2,10,6,1,3,0,1,1,1,0,2.846439345,Medium
Safe0%,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
1111112,1,7,0,0,7,0,0,0,1,0,0.591672779,Weak
SECURE10secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
5dBfZ4OW,2,8,4,2,2,0,1,1,1,0,3,Medium
nVW0@39B2aWy,3,12,4,3,4,1,1,1,1,1,3.418295834,Strong
SAFE80safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
Guard9@,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
3K2SuEK8,2,8,4,1,3,0,1,1,1,0,2.75,Medium
9tzfgruPplQ0dDWd2,4,17,4,10,3,0,1,1,1,0,3.969815782,Very Strong
12342,1,5,0,0,5,0,0,0,1,0,1.921928095,Weak
WW1qinMqDI,2,10,5,4,1,0,1,1,1,0,2.921928095,Medium
abc26,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Guard5@,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
Secure18#,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
PASS80pass,2,10,4,4,2,0,1,1,1,0,2.921928095,Medium
PASS180pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
Shield9!,2,8,1,5,1,1,1,1,1,1,3,Medium
!QMYxjk00nF,3,11,4,4,2,1,1,1,1,1,3.277613437,Strong
4RcG3WTjMSe4VEc@,4,16,8,4,3,1,1,1,1,1,3.75,Very Strong
Secure1#,2,8,1,5,1,1,1,1,1,1,2.75,Medium
abc33,0,5,0,3,2,0,0,1,1,0,1.921928095,Very Weak
abc47,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Guard8@,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
12345670,1,8,0,0,8,0,0,0,1,0,3,Weak
393939,0,6,0,0,6,0,0,0,1,0,1,Very Weak
PASS0pass,2,9,4,4,1,0,1,1,1,0,2.725480557,Medium
kag%gq%w8Hed76cwPj,4,18,2,11,3,2,1,1,1,1,3.836591668,Very Strong
5dLvAqW8K!kwf1f%&c,4,18,4,8,3,3,1,1,1,1,4.05881389,Very Strong
Safe13$,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
GUARD30guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
yoxuK94R,2,8,2,4,2,0,1,1,1,0,3,Medium
Guard2!,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
abc44,0,5,0,3,2,0,0,1,1,0,1.921928095,Very Weak
SHIELD50shield,2,14,6,6,2,0,1,1,1,0,3.807354922,Medium
303030,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Shield19@,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
@A!W8CBe^yVbmAiN,4,16,7,5,1,3,1,1,1,1,3.875,Very Strong
qazwsx,0,6,0,6,0,0,0,1,0,0,2.584962501,Very Weak
SHIELD30shield,2,14,6,6,2,0,1,1,1,0,3.807354922,Medium
SHIELD130shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
t3W7XEHh,2,8,4,2,2,0,1,1,1,0,3,Medium
bDgMs@gEmX*uOaS,4,15,6,7,0,2,1,1,0,1,3.773557262,Very Strong
GUARD90guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
*9IsvKfmr54grTOkQb,4,18,5,9,3,1,1,1,1,1,4.05881389,Very Strong
SHIELD110shield,2,15,6,6,3,0,1,1,1,0,3.773557262,Medium
L03a3FJ!qlZm,3,12,4,4,3,1,1,1,1,1,3.418295834,Strong
GUARD190guard,2,13,5,5,3,0,1,1,1,0,3.700439718,Medium
abc10,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
12340,1,5,0,0,5,0,0,0,1,0,2.321928095,Weak
Safe11#,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
Shield5$,2,8,1,5,1,1,1,1,1,1,3,Medium
abc22,0,5,0,3,2,0,0,1,1,0,1.921928095,Very Weak
abc48,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
GUARD130guard,2,13,5,5,3,0,1,1,1,0,3.700439718,Medium
Guard10#,2,8,1,4,2,1,1,1,1,1,3,Medium
SAFE150safe,2,11,4,4,3,0,1,1,1,0,3.459431619,Medium
Xlr0JGg8PE,2,10,5,3,2,0,1,1,1,0,3.321928095,Medium
dragon2,1,7,0,6,1,0,0,1,1,0,2.807354922,Weak
SAFE170safe,2,11,4,4,3,0,1,1,1,0,3.459431619,Medium
rZ!JcbUB9gExS#M,4,15,7,5,1,2,1,1,1,1,3.906890596,Very Strong
121212,0,6,0,0,6,0,0,0,1,0,1,Very Weak
fS9oAVAWzG,2,10,6,3,1,0,1,1,1,0,3.121928095,Medium
SECURE30secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
h5pSDkZsLt,2,10,4,5,1,0,1,1,1,0,3.321928095,Medium
12345671,1,8,0,0,8,0,0,0,1,0,2.75,Weak
o^D!&*u7h3APMz%SG,4,17,6,4,2,5,1,1,1,1,4.087462841,Very Strong
12345672,1,8,0,0,8,0,0,0,1,0,2.75,Weak
hBT67Pitg,2,9,3,4,2,0,1,1,1,0,3.169925001,Medium
Shield6@,2,8,1,5,1,1,1,1,1,1,3,Medium
1234562,1,7,0,0,7,0,0,0,1,0,2.521640636,Weak
LXgI9pEd4,2,9,4,3,2,0,1,1,1,0,3.169925001,Medium
414141,0,6,0,0,6,0,0,0,1,0,1,Very Weak
1111111,1,7,0,0,7,0,0,0,1,0,0,Weak
Safe4%,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
ksyXZ#F7TCYn8$1,4,15,6,4,3,2,1,1,1,1,3.906890596,Very Strong
abc41,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
eI2DUy3pG#XscfR1VS,4,18,8,6,3,1,1,1,1,1,4.169925001,Very Strong
Guard11#,2,8,1,4,2,1,1,1,1,1,2.75,Medium
X7GDD1fHm,2,9,5,2,2,0,1,1,1,0,2.947702779,Medium
1234561,1,7,0,0,7,0,0,0,1,0,2.521640636,Weak
Pass16$,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
SECURE50secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
SAFE70safe,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
SHIELD170shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
SHIELD120shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
lkHzNhs7vg,2,10,2,7,1,0,1,1,1,0,3.321928095,Medium
B5q0PuXTq,2,9,4,3,2,0,1,1,1,0,2.947702779,Medium
X93tC76@V4kfka$,4,15,3,5,5,2,1,1,1,1,3.773557262,Very Strong
SHIELD40shield,2,14,6,6,2,0,1,1,1,0,3.807354922,Medium
password1,1,9,0,8,1,0,0,1,1,0,2.947702779,Weak
SHIELD150shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
Secure16@,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
rM5qCg40sQ3sa2gjdw,4,18,3,10,5,0,1,1,1,0,3.947702779,Very Strong
Secure14%,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
123456782,1,9,0,0,9,0,0,0,1,0,2.947702779,Weak
#ypv$JBOZcZ$4x$!dO,4,18,6,6,1,5,1,1,1,1,3.683542362,Very Strong
Shield7$,2,8,1,5,1,1,1,1,1,1,3,Medium
mf48GI^H6J7f569pe,4,17,4,5,7,1,1,1,1,1,3.852168724,Very Strong
2Vl%iE9ig4,3,10,2,4,3,1,1,1,1,1,3.121928095,Strong
4Cy17vaGK2*QnBr,4,15,5,5,4,1,1,1,1,1,3.906890596,Very Strong
HyhKF67Zv0,2,10,4,3,3,0,1,1,1,0,3.321928095,Medium
SHIELD100shield,2,15,6,6,3,0,1,1,1,0,3.773557262,Medium
GUARD110guard,2,13,5,5,3,0,1,1,1,0,3.546593564,Medium
mFICfl6@Z1l,3,11,4,4,2,1,1,1,1,1,3.277613437,Strong
JhY3cTMb,2,8,4,3,1,0,1,1,1,0,3,Medium
sz!cL18cMX,3,10,3,4,2,1,1,1,1,1,3.121928095,Strong
494949,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Pass14!,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
SHIELD180shield,2,15,6,6,3,0,1,1,1,0,3.906890596,Medium
SQ7B8wGrHh,2,10,5,3,2,0,1,1,1,0,3.321928095,Medium
9leiGx3E3a,2,10,2,5,3,0,1,1,1,0,3.121928095,Medium
SHIELD10shield,2,14,6,6,2,0,1,1,1,0,3.807354922,Medium
Pass0$,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
PG3HLhwwQ!%qu0@9r,4,17,5,6,3,3,1,1,1,1,3.969815782,Very Strong
Safe1#,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
Kwk@ozrYqFY7A^,4,14,5,6,1,2,1,1,1,1,3.664497779,Very Strong
b7rlT5OJ1z,2,10,3,4,3,0,1,1,1,0,3.321928095,Medium
PASS60pass,2,10,4,4,2,0,1,1,1,0,2.921928095,Medium
Shield3!,2,8,1,5,1,1,1,1,1,1,3,Medium
123450,1,6,0,0,6,0,0,0,1,0,2.584962501,Weak
Secure3!,2,8,1,5,1,1,1,1,1,1,2.75,Medium
SAFE130safe,2,11,4,4,3,0,1,1,1,0,3.459431619,Medium
SAFE0safe,2,9,4,4,1,0,1,1,1,0,3.169925001,Medium
asdfgh,0,6,0,6,0,0,0,1,0,0,2.584962501,Very Weak
qazwsx123,1,9,0,6,3,0,0,1,1,0,3.169925001,Weak
5GppuFFabG,2,10,4,5,1,0,1,1,1,0,2.721928095,Medium
SECURE160secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
mE73980dpCkiH9,4,14,3,5,6,0,1,1,1,0,3.664497779,Very Strong
uu7MWu9f,2,8,2,4,2,0,1,1,1,0,2.405639062,Medium
Shield18@,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
123456780,1,9,0,0,9,0,0,0,1,0,3.169925001,Weak
cQ2VzR1siwL72v!^uT,4,18,5,7,4,2,1,1,1,1,4.05881389,Very Strong
Guard7!,2,7,1,4,1,1,1,1,1,1,2.807354922,Medium
^!KE95ObLmRGyZh9,4,16,7,4,3,2,1,1,1,1,3.875,Very Strong
HYlKpR%gQwuL$uJdg,4,17,7,8,0,2,1,1,0,1,3.852168724,Very Strong
